y,blocks mined,lava,coal,copper,iron,lapis,redstone,gold,emeralds,diamonds
63,10420,0,161,0,3,3,0,0,0,0
62,10420,0,141,0,0,3,0,0,0,0
61,10420,0,141,6,2,3,0,0,0,0
60,10420,0,100,15,2,0,0,0,0,0
59,10420,0,110,22,2,0,0,0,0,0
58,10420,0,71,22,2,1,0,0,0,0
57,10420,0,71,21,0,1,0,0,0,0
56,10420,0,101,16,0,4,0,0,0,0
55,10420,0,101,44,0,5,0,0,0,0
54,10420,0,157,55,2,12,0,0,0,0
53,10420,0,252,55,5,11,0,0,0,0
52,10420,0,255,71,7,8,0,0,0,0
51,10420,0,261,54,20,9,0,0,0,0
50,10420,0,261,36,22,9,0,0,0,0
49,10420,0,335,74,22,7,0,0,0,0
48,10420,0,278,82,20,6,0,0,0,0
47,10420,0,210,90,22,14,0,0,0,0
46,10420,0,169,49,22,11,0,0,0,0
45,10420,0,175,28,19,14,0,0,0,0
44,10420,0,199,18,9,14,0,0,0,0
43,10420,0,243,24,15,9,0,0,0,0
42,10420,0,235,26,10,6,0,0,0,0
41,10420,0,197,23,13,7,0,0,0,0
40,10420,0,195,23,25,8,0,0,0,0
39,10420,0,168,23,26,2,0,0,0,0
38,10420,0,136,47,20,2,0,0,0,0
37,10420,0,83,60,14,1,0,0,0,0
36,10420,0,67,43,12,1,0,0,0,0
35,10420,0,91,38,5,1,0,0,0,0
34,10420,0,67,17,15,1,0,0,0,0
33,10420,0,47,21,17,1,0,0,0,0
32,10420,0,71,19,30,0,0,0,0,0
31,10420,0,71,19,30,0,0,0,0,0
30,10420,0,24,19,24,0,0,0,0,0
29,10420,0,24,31,24,0,0,0,0,0
28,10420,0,24,26,24,0,0,0,0,0
27,10420,0,0,34,19,0,0,0,0,0
26,10420,0,0,22,25,0,0,0,0,0
25,10420,0,0,38,28,0,0,0,0,0
24,10420,0,14,37,25,0,0,0,0,0
23,10420,0,14,21,17,0,0,0,0,0
22,10420,0,64,37,11,0,0,0,0,0
21,10420,0,159,29,8,8,0,0,0,0
20,10420,0,182,44,25,8,0,0,0,0
19,10420,0,142,68,32,8,0,0,0,0
18,10420,0,183,71,31,0,0,0,0,0
17,10420,0,183,53,39,0,0,0,0,0
16,10420,0,41,31,37,0,0,0,0,0
15,10420,129,23,38,38,3,0,10,0,0
14,10420,420,23,25,21,3,0,10,0,0
13,10420,583,23,31,6,2,4,10,0,0
12,10420,390,0,62,23,2,4,6,0,0
11,10420,131,0,61,33,0,0,6,0,0
10,10420,33,28,58,52,0,6,13,0,0
9,10420,0,28,43,46,0,6,21,0,0
8,10420,0,28,66,42,0,6,15,0,0
7,10420,0,28,59,33,12,6,15,0,0
6,10420,0,0,32,40,17,6,0,0,0
5,10420,0,0,32,46,17,0,0,0,0
4,10420,0,14,13,35,17,0,13,0,0
3,10420,0,14,13,15,15,0,13,0,0
2,10420,0,14,13,25,7,7,13,0,0
1,10420,0,14,8,19,0,7,19,0,0
0,10420,0,14,18,25,0,7,23,0,0
-1,10420,0,0,18,14,0,7,18,0,4
-2,10420,0,0,0,7,7,7,8,0,7
-3,10420,0,0,0,5,7,0,9,0,9
-4,10420,0,0,0,0,7,0,1,0,9
-5,10420,0,0,0,2,7,0,15,0,3
-6,10420,0,0,0,4,9,0,15,0,3
-7,10420,0,0,0,11,9,0,15,0,3
-8,10420,0,0,0,11,9,0,15,0,3
-9,10420,0,0,0,9,9,0,14,0,3
-10,10420,0,0,0,3,6,0,21,0,0
