y,blocks mined,lava,coal,copper,iron,lapis,redstone,gold,emeralds,diamonds
63,10420,0,245,8,5,0,0,0,0,0
62,10420,0,230,8,3,0,0,0,0,0
61,10420,0,217,37,3,0,0,0,0,0
60,10420,0,105,37,9,0,0,0,0,0
59,10420,0,137,35,9,0,0,0,0,0
58,10420,0,154,45,10,1,0,0,0,0
57,10420,0,163,71,8,8,0,0,0,0
56,10420,0,132,66,12,8,0,0,0,0
55,10420,0,131,69,11,8,0,0,0,0
54,10420,0,104,77,11,10,0,0,0,0
53,10420,0,98,64,9,7,0,0,0,0
52,10420,0,117,70,9,3,0,0,0,0
51,10420,0,139,70,9,2,0,0,0,0
50,10420,0,119,58,7,0,0,0,0,0
49,10420,0,104,53,12,0,0,0,0,0
48,10420,0,115,65,10,4,0,0,0,0
47,10420,0,120,57,6,4,0,0,0,0
46,10420,0,53,65,0,3,0,0,0,0
45,10420,0,65,52,1,3,0,0,0,0
44,10420,0,61,48,3,4,0,0,0,0
43,10420,0,61,27,3,6,0,0,0,0
42,10420,0,57,46,15,2,0,0,0,0
41,10420,0,85,43,15,2,0,0,0,0
40,10420,0,85,63,11,0,0,0,0,0
39,10420,0,104,64,7,0,0,0,0,0
38,10420,0,107,82,6,0,0,0,0,0
37,10420,0,111,71,6,0,0,0,0,0
36,10420,0,66,91,14,0,0,0,0,0
35,10420,0,62,61,10,0,0,0,0,0
34,10420,0,104,66,20,0,0,0,0,0
33,10420,0,77,21,12,0,0,0,0,0
32,10420,0,60,17,10,0,0,0,0,0
31,10420,0,62,20,10,0,0,0,0,0
30,10420,0,136,16,10,0,0,0,0,0
29,10420,0,97,20,14,0,0,0,0,0
28,10420,0,113,20,22,0,0,0,0,0
27,10420,0,136,53,49,1,0,0,0,0
26,10420,0,158,40,46,1,0,0,0,0
25,10420,0,158,37,42,1,0,0,0,0
24,10420,0,129,27,42,1,0,0,0,0
23,10420,0,129,27,33,6,0,0,0,0
22,10420,0,176,19,45,6,0,0,0,0
21,10420,0,108,8,46,3,0,0,0,0
20,10420,0,195,38,37,7,0,0,0,0
19,10420,0,148,38,37,9,0,5,0,0
18,10420,0,125,43,20,9,0,9,0,0
17,10420,0,125,40,33,9,0,4,0,0
16,10420,0,86,37,37,0,0,4,0,0
15,10420,0,110,8,28,0,8,10,0,0
14,10420,0,113,18,32,0,14,6,0,0
13,10420,0,113,16,25,0,14,6,0,0
12,10420,0,51,27,38,0,14,0,0,0
11,10420,0,45,27,38,1,17,0,0,0
10,10420,0,45,32,54,2,26,8,0,0
9,10420,0,45,32,42,2,26,15,0,0
8,10420,0,38,47,52,16,26,7,0,0
7,10420,0,38,53,40,24,21,13,0,0
6,10420,0,20,43,40,24,21,16,0,0
5,10420,0,20,51,35,19,12,16,0,0
4,10420,0,0,57,33,7,8,16,0,0
3,10420,0,21,31,27,10,6,6,0,0
2,10420,0,21,19,19,6,6,4,0,0
1,10420,26,21,31,17,6,6,4,0,0
0,10420,52,21,18,26,15,6,0,0,0
-1,10420,52,0,18,18,9,6,0,0,0
-2,10420,52,0,18,28,12,14,0,0,0
-3,10420,26,0,12,33,5,14,10,0,0
-4,10420,0,0,0,26,4,20,20,0,5
-5,10420,0,0,0,38,8,14,32,0,5
-6,10420,0,0,0,34,5,20,32,0,4
-7,10420,0,0,0,24,8,12,39,0,4
-8,10420,0,0,0,25,14,12,43,0,4
-9,10420,0,0,0,28,12,18,27,0,0
-10,10420,0,0,0,17,14,12,7,0,2
-11,10420,0,0,0,32,11,6,8,0,2
-12,10420,0,0,0,35,5,5,15,0,0
-13,10420,0,0,0,26,10,5,22,0,0
-14,10420,0,0,0,25,10,9,22,0,0
-15,10420,0,0,0,18,9,9,27,0,0
-16,10420,51,0,0,10,10,12,27,0,2
-17,10420,193,0,0,12,9,7,23,0,2
-18,10420,241,0,0,40,4,3,0,0,0
-19,10420,130,0,0,30,4,18,4,0,0
-20,10420,31,0,0,41,4,18,4,0,0
-21,10420,4,0,0,39,3,18,0,0,0
-22,10420,23,0,0,46,1,13,0,0,0
-23,10420,102,0,0,15,0,10,6,0,0
-24,10420,213,0,0,17,1,0,12,0,0
-25,10420,191,0,0,6,1,0,12,0,0
-26,10420,67,0,0,152,6,5,20,0,0
-27,10420,10,0,0,152,6,5,20,0,0
-28,10420,7,0,0,154,10,5,28,0,0
-29,10420,10,0,0,165,4,11,30,0,0
-30,10420,20,0,0,190,4,11,38,0,0
-31,10420,30,0,0,191,4,11,38,0,0
-32,10420,46,0,0,186,0,19,40,0,0
-33,10420,101,0,0,184,5,19,40,0,0
-34,10420,203,0,0,36,6,8,26,0,0
-35,10420,280,0,0,32,5,20,26,0,0
-36,10420,228,0,0,9,1,25,10,0,0
-37,10420,109,0,0,8,2,17,15,0,0
-38,10420,31,0,0,16,2,9,15,0,0
-39,10420,1,0,0,22,0,20,20,0,2
-40,10420,0,0,0,63,0,31,26,0,4
-41,10420,0,0,0,107,0,31,26,0,4
-42,10420,0,0,0,102,0,22,20,0,7
-43,10420,0,0,0,98,0,17,28,0,5
-44,10420,0,0,0,97,4,18,24,0,5
-45,10420,0,0,0,50,10,20,16,0,5
-46,10420,0,0,0,48,10,31,8,0,3
-47,10420,0,0,0,30,8,24,8,0,0
-48,10420,0,0,0,28,8,43,8,0,0
-49,10420,0,0,0,32,5,30,8,0,0
-50,10420,0,0,0,4,0,30,8,0,14
-51,10420,0,0,0,4,3,39,17,0,14
-52,10420,0,0,0,4,4,37,23,0,14
-53,10420,0,0,0,3,10,43,29,0,23
-54,10420,53,0,0,3,9,32,20,0,23
-55,10420,223,0,0,8,1,39,6,0,9
