y,blocks mined,lava,coal,copper,iron,lapis,redstone,gold,emeralds,diamonds
63,10420,0,187,7,3,7,0,0,0,0
62,10420,0,196,7,0,9,0,0,0,0
61,10420,0,146,17,3,6,0,0,0,0
60,10420,0,122,27,3,4,0,0,0,0
59,10420,0,156,27,9,1,0,0,0,0
58,10420,0,154,27,9,5,0,0,0,0
57,10420,0,185,20,12,5,0,0,0,0
56,10420,0,182,20,14,5,0,0,1,0
55,10420,0,164,31,14,5,0,0,1,0
54,10420,0,82,27,7,3,0,0,0,0
53,10420,0,80,34,7,3,0,0,0,0
52,10420,0,51,34,9,3,0,0,0,0
51,10420,0,72,34,9,0,0,0,0,0
50,10420,0,58,36,6,0,0,0,0,0
49,10420,0,59,29,6,0,0,0,0,0
48,10420,0,52,42,3,0,0,0,0,0
47,10420,0,95,28,3,0,0,0,0,0
46,10420,0,77,44,9,0,0,0,0,0
45,10420,0,119,44,9,0,0,0,0,0
44,10420,0,53,51,13,0,0,0,0,0
43,10420,0,61,45,13,1,0,0,0,0
42,10420,0,80,37,13,1,0,0,0,0
41,10420,0,99,46,0,1,0,0,0,0
40,10420,0,89,33,0,1,0,0,0,0
39,10420,0,122,41,14,1,0,0,0,0
38,10420,0,177,58,30,5,0,0,0,0
37,10420,0,177,49,30,8,0,0,0,0
36,10420,0,177,43,20,8,0,0,0,0
35,10420,0,138,36,11,7,0,0,0,0
34,10420,0,127,28,21,7,0,0,0,0
33,10420,0,89,26,14,0,0,0,0,0
32,10420,0,41,22,24,0,0,0,0,0
31,10420,0,23,23,20,2,0,0,0,0
30,10420,0,23,32,22,2,0,8,0,0
29,10420,0,23,48,23,2,0,8,0,0
28,10420,0,45,40,25,0,0,8,0,0
27,10420,2,67,36,30,0,0,0,0,0
26,10420,8,67,42,36,6,0,0,0,0
25,10420,8,67,42,26,6,0,6,0,0
24,10420,2,67,33,35,8,0,6,0,0
23,10420,0,47,43,45,6,0,6,0,0
22,10420,0,29,45,49,4,0,0,0,0
21,10420,0,57,50,28,3,0,8,0,0
20,10420,0,57,80,38,1,0,8,0,0
19,10420,0,71,68,19,0,0,8,0,0
18,10420,0,71,52,10,0,0,8,0,0
17,10420,0,62,60,10,0,0,0,0,0
16,10420,0,70,52,10,0,0,0,0,0
15,10420,0,31,31,9,0,0,0,0,0
14,10420,0,42,41,9,0,0,0,0,0
13,10420,0,42,42,8,0,0,0,0,0
