y,blocks mined,lava,coal,copper,iron,lapis,redstone,gold,emeralds,diamonds
63,10420,0,172,7,2,0,0,0,0,0
62,10420,0,194,7,2,0,0,0,0,0
61,10420,0,176,12,0,0,0,0,0,0
60,10420,0,247,25,0,0,0,0,0,0
59,10420,0,239,25,0,0,0,0,0,0
58,10420,0,231,25,0,0,0,0,0,0
57,10420,0,183,12,0,0,0,0,0,0
56,10420,0,234,27,0,0,0,0,0,0
55,10420,0,145,30,2,0,0,0,0,0
54,10420,0,75,25,4,0,0,0,0,0
53,10420,0,24,25,2,0,0,0,0,0
52,10420,0,110,24,2,1,0,0,0,0
51,10420,0,178,13,2,1,0,0,0,0
50,10420,0,164,32,0,0,0,0,0,0
49,10420,0,164,33,1,0,0,0,0,0
48,10420,0,119,33,6,0,0,0,0,0
47,10420,0,163,37,13,3,0,0,0,0
46,10420,0,113,28,11,4,0,0,0,0
45,10420,0,90,41,17,5,0,0,0,0
44,10420,0,46,28,17,1,0,0,0,0
43,10420,0,49,43,21,0,0,0,0,0
42,10420,0,158,78,10,0,0,0,0,0
41,10420,0,185,56,8,0,0,0,0,0
40,10420,0,245,45,14,0,0,0,0,0
39,10420,0,219,44,11,0,0,0,0,0
38,10420,0,219,55,8,0,0,0,0,0
37,10420,0,153,66,8,0,0,0,0,0
36,10420,0,80,85,6,1,0,0,0,0
35,10420,0,41,95,0,1,0,0,0,0
34,10420,0,61,81,7,0,0,0,0,0
33,10420,0,96,70,18,1,0,0,0,0
32,10420,0,96,61,16,1,0,0,0,0
31,10420,0,96,71,11,2,0,0,0,0
30,10420,0,102,64,16,6,0,0,0,0
29,10420,0,82,57,12,6,0,0,0,0
28,10420,0,35,30,18,4,0,4,0,0
27,10420,0,25,26,28,8,0,4,0,0
26,10420,0,0,24,53,6,0,4,0,0
25,10420,0,20,21,40,6,0,0,0,0
24,10420,0,36,53,40,6,0,0,0,0
23,10420,0,71,65,40,0,0,0,0,0
22,10420,0,51,82,32,0,0,0,0,0
21,10420,0,61,67,50,1,0,0,0,0
20,10420,0,61,59,36,1,0,3,0,0
19,10420,0,35,81,36,0,0,3,0,0
18,10420,0,69,91,46,0,0,3,0,0
17,10420,0,69,41,59,0,0,9,0,0
16,10420,0,69,46,53,3,0,9,0,0
15,10420,0,34,23,39,8,0,9,0,0
14,10420,0,34,23,31,10,4,10,0,0
13,10420,0,0,21,22,10,16,7,0,0
12,10420,0,47,21,25,9,20,6,0,0
11,10420,0,47,35,3,13,16,0,0,3
10,10420,0,47,24,10,6,24,0,0,3
9,10420,0,47,24,30,4,16,0,0,0
8,10420,0,73,37,27,7,8,0,0,0
7,10420,0,73,37,28,11,0,0,0,0
6,10420,0,26,20,32,13,8,0,0,0
5,10420,0,1,12,29,14,8,0,0,0
4,10420,0,1,28,14,15,8,0,0,0
3,10420,0,0,243,33,9,0,11,0,0
2,10420,0,0,252,38,11,6,17,0,0
1,10420,0,0,32,27,6,6,10,0,0
0,10420,0,0,29,27,4,6,10,0,0
-1,10420,0,0,1,20,12,6,4,0,0
-2,10420,0,0,1,18,15,6,5,0,0
-3,10420,0,0,0,12,26,0,5,0,0
-4,10420,0,0,0,15,20,6,13,0,0
-5,10420,0,0,0,13,18,6,13,0,0
-6,10420,0,0,0,13,12,6,23,0,0
-7,10420,0,0,0,11,10,6,18,0,0
-8,10420,0,0,0,11,10,6,18,0,0
-9,10420,0,0,0,24,7,0,0,0,0
-10,10420,0,0,0,21,7,12,0,0,1
-11,10420,0,0,0,21,1,12,3,0,4
-12,10420,0,0,0,5,0,16,3,0,3
-13,10420,0,0,0,5,5,8,11,0,0
-14,10420,12,0,0,16,9,9,14,0,0
-15,10420,24,0,0,20,14,10,14,0,0
-16,10420,24,0,0,20,14,10,6,0,0
-17,10420,12,0,0,14,9,16,8,0,2
-18,10420,0,0,0,16,5,24,8,0,3
-19,10420,32,0,0,2,5,19,16,0,3
-20,10420,32,0,0,2,0,8,16,0,0
-21,10420,0,0,0,4,0,0,16,0,0
-22,10420,0,0,0,6,4,0,8,0,0
-23,10420,0,0,0,8,4,0,8,0,0
-24,10420,0,0,0,8,10,0,4,0,2
-25,10420,0,0,0,12,16,0,4,0,2
-26,10420,0,0,0,11,10,0,4,0,2
-27,10420,0,0,0,14,15,0,4,0,2
-28,10420,0,0,0,12,9,0,4,0,2
-29,10420,0,0,0,12,13,6,9,0,2
-30,10420,0,0,0,14,17,10,5,0,0
-31,10420,0,0,0,9,13,18,5,0,0
-32,10420,0,0,0,9,8,18,5,0,0
-33,10420,0,0,0,9,5,18,0,0,0
-34,10420,0,0,0,5,1,12,0,0,0
-35,10420,0,0,0,3,0,8,0,0,0
-36,10420,0,0,0,5,0,13,19,0,3
-37,10420,0,0,0,6,1,26,30,0,3
-38,10420,0,0,0,6,1,47,30,0,3
-39,10420,0,0,0,6,0,47,23,0,0
-40,10420,0,0,0,4,2,34,4,0,0
-41,10420,0,0,0,10,2,17,12,0,0
-42,10420,0,0,0,6,2,12,12,0,0
-43,10420,0,0,0,11,2,22,8,0,3
-44,10420,0,0,0,5,4,23,8,0,6
-45,10420,0,0,0,3,2,18,8,0,3
-46,10420,0,0,0,3,2,18,4,0,3
-47,10420,0,0,0,7,2,16,18,0,3
-48,10420,0,0,0,7,3,11,14,0,0
-49,10420,0,0,0,4,1,11,5,0,0
-50,10420,0,0,0,3,0,17,5,0,0
-51,10420,0,0,0,3,1,17,5,0,2
-52,10420,0,0,0,8,5,16,0,0,2
-53,10420,0,0,0,8,5,31,0,0,0
-54,10420,16,0,0,10,1,43,6,0,0
-55,10420,81,0,0,5,0,48,6,0,2
-56,10420,174,0,0,9,2,70,6,0,2
-57,10420,208,0,0,7,3,69,6,0,7
-58,10420,115,0,0,7,1,55,6,0,10
-59,10420,54,0,0,0,1,40,6,0,10
