y,blocks mined,lava,coal,copper,iron,lapis,redstone,gold,emeralds,diamonds
63,10420,0,84,16,3,0,0,0,0,0
62,10420,0,84,16,3,4,0,0,0,0
61,10420,0,99,18,0,4,0,0,0,0
60,10420,0,99,18,0,4,0,0,0,0
59,10420,0,97,18,0,2,0,0,0,0
58,10420,0,80,12,0,1,0,0,0,0
57,10420,0,146,49,0,1,0,0,0,0
56,10420,0,135,41,0,1,0,0,0,0
55,10420,0,198,47,3,1,0,0,0,0
54,10420,0,149,57,3,1,0,0,0,0
53,10420,0,139,43,3,0,0,0,0,0
52,10420,0,93,22,6,0,0,0,0,0
51,10420,0,65,26,6,0,0,0,0,0
50,10420,0,38,16,2,1,0,0,0,0
49,10420,0,112,14,4,2,0,0,0,0
48,10420,0,137,12,2,1,0,0,0,0
47,10420,0,143,47,10,1,0,0,0,0
46,10420,0,135,59,27,1,0,0,0,0
45,10420,0,154,64,27,0,0,0,0,0
44,10420,0,146,121,17,0,0,0,0,0
43,10420,0,152,113,19,0,0,0,0,0
42,10420,0,135,91,26,0,0,0,0,0
41,10420,0,177,60,13,2,0,0,0,0
40,10420,0,181,83,13,2,0,0,0,0
39,10420,0,146,50,11,4,0,0,0,0
38,10420,0,219,23,12,2,0,0,0,0
37,10420,0,219,11,5,2,0,0,0,0
36,10420,0,198,11,7,2,0,0,0,0
35,10420,0,162,29,15,2,0,0,0,0
34,10420,0,101,32,19,0,0,0,0,0
33,10420,0,28,42,18,0,0,0,0,0
32,10420,0,28,43,24,0,0,0,0,0
31,10420,0,28,52,37,0,0,0,0,0
30,10420,0,0,32,38,0,0,0,0,0
29,10420,0,0,25,34,0,0,0,0,0
28,10420,21,22,33,24,0,0,0,0,0
27,10420,31,22,26,21,0,0,0,0,0
26,10420,20,39,17,19,0,0,0,0,0
25,10420,20,39,24,6,0,0,0,0,0
24,10420,20,39,60,7,0,0,0,0,0
23,10420,20,17,60,7,1,0,0,0,0
22,10420,20,34,62,10,5,0,6,0,0
21,10420,30,17,38,7,9,0,6,0,0
20,10420,50,17,29,7,10,0,6,0,0
19,10420,70,17,29,8,7,0,6,0,0
18,10420,60,61,37,17,11,0,6,0,0
17,10420,20,56,35,17,6,0,6,0,0
16,10420,0,56,28,12,5,0,6,0,0
15,10420,0,44,36,15,4,0,6,0,0
14,10420,0,44,45,31,13,0,6,0,0
13,10420,0,67,68,33,21,6,16,0,0
12,10420,0,67,62,36,20,6,10,0,0
11,10420,0,43,53,38,16,6,10,0,0
10,10420,0,22,23,28,9,0,10,0,0
9,10420,0,22,16,33,1,0,0,0,0
8,10420,0,0,11,37,1,0,0,0,0
7,10420,0,24,11,37,2,5,0,0,0
6,10420,0,24,10,38,1,5,0,0,0
5,10420,0,0,10,32,3,5,0,0,0
4,10420,0,0,0,17,8,11,0,0,0
3,10420,0,22,11,4,9,16,0,0,0
2,10420,0,22,16,11,4,11,0,0,0
1,10420,0,22,20,18,4,13,0,0,0
0,10420,0,0,31,27,4,8,0,0,0
-1,10420,0,0,26,36,10,8,2,0,0
-2,10420,0,0,15,36,6,13,2,0,0
-3,10420,0,0,6,33,7,13,2,0,0
-4,10420,0,0,0,26,7,13,2,0,0
-5,10420,0,0,0,21,5,13,2,0,0
-6,10420,0,0,0,18,5,8,0,0,0
-7,10420,0,0,0,6,0,8,14,0,0
-8,10420,0,0,0,8,0,8,14,0,0
-9,10420,65,0,0,36,10,10,14,0,0
-10,10420,179,0,0,135,17,14,14,0,0
-11,10420,179,0,0,110,13,14,14,0,0
-12,10420,65,0,0,143,10,9,0,0,0
-13,10420,0,0,0,134,10,9,14,0,0
-14,10420,0,0,0,149,12,9,14,0,0
-15,10420,0,0,0,148,13,9,16,0,0
-16,10420,0,0,0,134,6,9,16,0,0
-17,10420,0,0,0,129,6,13,18,0,2
-18,10420,0,0,0,126,6,21,14,0,2
-19,10420,0,0,0,125,4,17,14,0,2
-20,10420,0,0,0,51,10,17,12,0,2
-21,10420,0,0,0,51,10,17,10,0,0
-22,10420,6,0,0,60,10,17,20,0,0
-23,10420,19,0,0,60,10,9,16,0,0
-24,10420,36,0,0,56,8,9,22,0,0
-25,10420,49,0,0,129,0,0,24,0,0
-26,10420,53,0,0,118,1,6,24,0,0
-27,10420,53,0,0,110,1,12,14,0,0
-28,10420,79,0,0,109,0,21,2,0,0
-29,10420,106,0,0,3,0,21,2,0,0
-30,10420,149,0,0,3,0,21,2,0,0
-31,10420,227,0,0,2,0,15,2,0,3
-32,10420,270,0,0,3,0,23,2,0,3
-33,10420,246,0,0,49,0,8,4,0,9
-34,10420,155,0,0,48,1,8,4,0,9
-35,10420,61,0,0,233,1,8,21,0,3
-36,10420,19,0,0,439,0,13,35,0,3
-37,10420,10,0,0,329,0,5,31,0,6
-38,10420,9,0,0,289,0,14,44,0,3
-39,10420,10,0,0,254,0,13,32,0,3
-40,10420,13,0,0,250,5,9,39,0,3
-41,10420,16,0,0,226,9,5,20,0,6
-42,10420,15,0,0,236,13,5,20,0,3
-43,10420,11,0,0,222,13,0,8,0,0
-44,10420,30,0,0,222,7,14,13,0,4
-45,10420,65,0,0,215,8,14,13,0,4
-46,10420,65,0,0,210,5,9,13,0,6
-47,10420,26,0,0,213,4,23,13,0,6
-48,10420,0,0,0,213,4,48,13,0,2
-49,10420,0,0,0,259,4,70,8,0,2
-50,10420,12,0,0,259,1,61,8,0,0
-51,10420,12,0,0,262,1,59,8,0,0
-52,10420,0,0,0,259,2,54,8,0,9
-53,10420,0,0,0,213,2,45,16,0,9
-54,10420,48,0,0,209,1,47,16,0,9
-55,10420,348,0,0,3,1,34,8,0,13
-56,10420,797,0,0,0,0,42,8,0,10
-57,10420,1286,0,0,0,0,43,25,0,14
-58,10420,1623,0,0,0,1,55,17,0,17
-59,10420,1582,0,0,2,4,39,17,0,13
