y,blocks mined,lava,coal,copper,iron,lapis,redstone,gold,emeralds,diamonds
63,10420,0,0,0,0,0,0,0,0,0
62,10420,0,0,0,0,0,0,0,0,0
61,10420,0,0,0,0,0,0,0,0,0
60,10420,0,0,0,0,0,0,0,0,0
59,10420,0,0,0,0,0,0,0,0,0
58,10420,0,0,0,0,0,0,0,0,0
57,10420,0,0,0,0,0,0,0,0,0
56,10420,0,0,0,0,0,0,0,0,0
55,10420,0,0,0,0,0,0,0,0,0
54,10420,0,0,0,0,0,0,0,0,0
53,10420,0,3,0,0,0,0,0,0,0
52,10420,0,3,0,0,0,0,0,0,0
51,10420,0,0,6,0,0,0,0,0,0
50,10420,0,0,6,0,3,0,0,0,0
49,10420,0,0,6,4,3,0,0,0,0
48,10420,0,0,6,4,3,0,0,0,0
47,10420,0,35,19,4,3,0,0,0,0
46,10420,0,58,21,4,0,0,0,0,0
45,10420,0,131,33,0,1,0,0,0,0
44,10420,0,80,39,8,2,0,0,0,0
43,10420,0,121,49,8,1,0,0,0,0
42,10420,0,149,53,8,1,0,0,0,0
41,10420,0,198,44,2,1,0,0,0,0
40,10420,0,207,40,2,0,0,0,0,0
39,10420,0,150,37,8,0,0,0,0,0
38,10420,0,150,37,9,0,0,0,0,0
37,10420,0,170,29,26,0,0,0,0,0
36,10420,0,169,17,29,0,0,0,0,0
35,10420,0,87,11,29,4,0,0,0,0
34,10420,0,99,81,18,4,0,0,0,0
33,10420,0,124,77,4,0,0,0,0,0
32,10420,0,124,71,8,0,0,0,0,0
31,10420,0,104,77,8,3,0,0,0,0
30,10420,0,51,50,7,3,0,0,0,0
29,10420,0,32,50,10,3,0,0,0,0
28,10420,0,24,31,12,7,0,0,0,0
27,10420,0,48,18,13,7,0,8,0,0
26,10420,0,48,11,17,6,0,8,0,0
25,10420,0,40,1,24,9,0,8,0,0
24,10420,0,40,8,26,6,0,8,0,0
23,10420,0,40,28,27,6,0,8,0,0
22,10420,0,40,45,41,10,0,4,0,0
21,10420,0,16,57,38,7,0,4,0,0
20,10420,0,0,64,32,9,0,4,0,0
19,10420,0,1,49,22,2,0,4,0,0
18,10420,0,3,36,22,1,0,0,0,0
17,10420,0,23,44,15,3,0,4,0,0
16,10420,0,46,68,24,7,0,4,0,0
15,10420,0,44,48,46,7,0,0,0,0
14,10420,0,69,34,61,11,9,0,0,0
13,10420,0,48,34,64,20,13,0,0,0
12,10420,0,48,9,54,18,16,0,0,0
11,10420,0,74,22,54,18,21,15,0,0
10,10420,0,74,52,46,18,21,15,0,0
9,10420,0,49,42,35,11,14,15,0,0
8,10420,0,49,54,35,11,14,15,0,0
7,10420,0,49,50,35,22,22,23,0,0
6,10420,0,49,50,18,18,13,23,0,0
5,10420,0,0,32,0,14,16,8,0,0
4,10420,0,0,54,2,12,16,15,0,0
3,10420,0,0,39,2,5,16,15,0,0
2,10420,0,0,62,2,11,0,15,0,0
1,10420,0,0,50,4,11,8,22,0,0
0,10420,0,0,42,2,19,8,22,0,0
-1,10420,0,0,24,6,15,8,15,0,0
-2,10420,0,0,11,6,15,0,7,0,0
-3,10420,0,0,2,13,20,0,0,0,0
-4,10420,0,0,0,21,20,11,0,0,0
-5,10420,76,0,0,37,17,17,10,0,0
-6,10420,194,0,0,37,24,17,28,0,3
-7,10420,226,0,0,24,13,17,28,0,3
-8,10420,108,0,0,24,13,17,37,0,4
-9,10420,0,0,0,32,7,16,24,0,2
-10,10420,0,0,0,31,7,16,19,0,2
-11,10420,0,0,0,25,11,20,25,0,2
-12,10420,0,0,0,26,5,20,6,0,0
-13,10420,0,0,0,18,4,20,30,0,0
-14,10420,0,0,0,10,0,20,37,0,5
-15,10420,0,0,0,13,0,9,37,0,5
-16,10420,0,0,0,17,2,5,43,0,5
-17,10420,0,0,0,4,2,12,24,0,5
-18,10420,0,0,0,0,9,19,28,0,0
-19,10420,0,0,0,0,13,14,28,0,0
-20,10420,0,0,0,0,8,14,28,0,0
-21,10420,45,0,0,0,8,16,27,0,0
-22,10420,259,0,0,3,8,16,17,0,0
-23,10420,643,0,0,3,8,7,5,0,3
-24,10420,978,0,0,3,10,0,5,0,3
-25,10420,1106,0,0,7,18,8,5,0,3
-26,10420,1041,0,0,7,20,8,0,0,3
-27,10420,816,0,0,8,16,3,15,0,2
-28,10420,678,0,0,12,10,3,15,0,6
-29,10420,710,0,0,12,5,3,24,0,6
-30,10420,820,0,0,4,2,0,33,0,3
-31,10420,953,0,0,0,2,0,51,0,9
-32,10420,1061,0,0,0,3,8,39,0,7
-33,10420,1109,0,0,0,3,8,36,0,7
-34,10420,1089,0,0,0,2,8,31,0,8
-35,10420,1127,0,0,0,2,0,17,0,5
