y,blocks mined,lava,coal,copper,iron,lapis,redstone,gold,emeralds,diamonds
63,10420,0,100,0,0,0,0,0,0,0
62,10420,0,77,0,0,0,0,0,0,0
61,10420,0,91,0,13,0,0,0,0,0
60,10420,0,69,8,13,0,0,0,0,0
59,10420,0,85,11,13,2,0,0,0,0
58,10420,0,131,32,13,2,0,0,0,0
57,10420,0,157,41,16,2,0,0,0,0
56,10420,0,198,41,3,4,0,0,0,0
55,10420,0,172,49,0,2,0,0,0,0
54,10420,0,235,40,0,5,0,0,0,0
53,10420,0,198,29,1,5,0,0,0,0
52,10420,0,194,34,1,2,0,0,0,0
51,10420,0,50,36,0,0,0,0,0,0
50,10420,0,109,52,12,0,0,0,0,0
49,10420,0,165,49,20,0,0,0,0,0
48,10420,0,183,62,18,3,0,0,0,0
47,10420,0,231,42,10,6,0,0,0,0
46,10420,0,207,45,2,6,0,0,0,0
45,10420,0,213,60,2,4,0,0,0,0
44,10420,0,247,71,4,4,0,0,0,0
43,10420,0,242,74,17,3,0,0,0,0
42,10420,0,263,63,17,1,0,0,0,0
41,10420,0,262,50,26,0,0,0,0,0
40,10420,0,166,32,26,0,0,0,0,0
39,10420,0,166,32,37,1,0,0,0,0
38,10420,0,185,10,37,2,0,0,0,0
37,10420,0,182,21,33,1,0,0,0,0
36,10420,0,151,21,33,1,0,0,0,0
35,10420,0,151,32,28,1,0,0,0,0
34,10420,0,75,42,14,1,0,0,0,0
33,10420,0,52,35,0,1,0,0,0,0
32,10420,0,51,42,5,4,0,0,0,0
31,10420,0,32,40,5,4,0,0,0,0
30,10420,0,32,25,15,5,0,0,0,0
29,10420,0,52,24,15,9,0,0,0,0
28,10420,0,52,9,28,9,0,8,0,0
27,10420,0,98,17,38,5,0,8,0,0
26,10420,0,99,14,36,4,0,8,0,0
25,10420,0,91,14,26,1,0,8,0,0
24,10420,1,84,24,29,1,0,8,0,0
23,10420,2,84,16,24,0,0,6,0,0
22,10420,3,61,24,23,7,0,6,0,0
21,10420,2,38,16,23,9,0,6,0,0
20,10420,0,26,8,33,9,0,0,0,0
19,10420,0,26,8,32,6,0,0,0,0
18,10420,0,0,0,40,6,0,0,0,0
17,10420,0,0,0,33,10,0,0,0,0
16,10420,0,22,6,33,12,0,0,0,0
15,10420,0,50,6,37,15,0,0,0,0
14,10420,0,50,6,20,13,0,0,0,0
13,10420,0,75,18,5,9,8,0,0,0
12,10420,0,53,21,8,2,22,0,0,0
11,10420,0,53,43,24,5,22,0,0,0
10,10420,0,36,43,24,8,30,0,0,0
9,10420,0,36,34,32,9,30,12,0,0
8,10420,0,74,12,41,16,22,12,0,0
7,10420,0,74,21,43,20,5,12,0,0
6,10420,0,86,17,35,18,10,12,0,0
5,10420,0,86,17,32,17,9,13,0,0
4,10420,0,75,16,27,10,9,8,0,0
3,10420,0,63,38,17,9,9,8,0,0
2,10420,0,0,50,4,12,0,16,0,0
1,10420,0,0,56,14,12,0,16,0,0
0,10420,0,0,48,10,12,2,11,0,0
-1,10420,0,0,26,10,12,2,3,0,0
-2,10420,0,0,18,14,11,4,3,0,0
-3,10420,0,0,6,30,9,8,5,0,0
-4,10420,0,0,0,20,4,16,2,0,0
-5,10420,0,0,0,37,4,19,10,0,0
-6,10420,0,0,0,37,8,15,19,0,0
-7,10420,0,0,0,33,15,21,17,0,0
-8,10420,0,0,0,24,22,14,15,0,0
-9,10420,0,0,0,20,17,6,15,0,0
-10,10420,0,0,0,17,13,15,11,0,0
-11,10420,0,0,0,19,9,15,8,0,0
-12,10420,0,0,0,17,2,9,2,0,0
-13,10420,21,0,0,7,2,15,25,0,0
-14,10420,82,0,0,15,2,15,23,0,0
-15,10420,82,0,0,17,0,6,23,0,0
