y,blocks mined,lava,coal,copper,iron,lapis,redstone,gold,emeralds,diamonds
63,10420,0,0,0,0,0,0,0,0,0
62,10420,0,0,0,0,0,0,0,0,0
61,10420,0,0,0,0,0,0,0,0,0
60,10420,0,0,0,0,0,0,0,0,0
59,10420,0,0,0,0,0,0,0,0,0
58,10420,0,0,0,0,0,0,0,0,0
57,10420,0,0,0,0,0,0,0,0,0
56,10420,0,0,0,0,0,0,0,0,0
55,10420,0,0,0,0,0,0,0,0,0
54,10420,0,0,0,0,0,0,0,0,0
53,10420,0,0,0,0,0,0,0,0,0
52,10420,0,0,0,0,0,0,0,0,0
51,10420,0,0,0,0,0,0,0,0,0
50,10420,0,0,0,0,0,0,0,0,0
49,10420,0,0,0,0,0,0,0,0,0
48,10420,0,0,0,0,0,0,0,0,0
47,10420,0,24,0,0,0,0,0,0,0
46,10420,0,42,0,2,0,0,0,0,0
45,10420,0,54,11,10,0,0,0,0,0
44,10420,0,63,11,13,2,0,0,0,0
43,10420,0,127,18,13,2,0,0,0,0
42,10420,0,119,23,14,0,0,0,0,0
41,10420,0,101,37,20,0,0,0,0,0
40,10420,0,127,55,10,1,0,0,0,0
39,10420,0,151,89,16,1,0,0,0,0
38,10420,0,131,86,24,3,0,0,0,0
37,10420,0,135,79,20,6,0,0,0,0
36,10420,0,88,75,18,8,0,0,0,0
35,10420,0,112,51,10,8,0,0,0,0
34,10420,0,71,38,4,5,0,0,0,0
33,10420,0,71,38,4,2,0,0,0,0
32,10420,0,116,32,7,4,0,0,0,0
31,10420,0,115,46,17,4,0,0,0,0
30,10420,0,121,36,28,4,0,0,0,0
29,10420,0,98,37,32,4,0,0,0,0
28,10420,0,98,44,36,4,0,0,0,0
27,10420,0,133,52,29,4,0,0,0,0
26,10420,0,128,42,18,0,0,6,0,0
25,10420,0,83,24,14,0,0,6,0,0
24,10420,0,95,34,22,0,0,6,0,0
23,10420,0,111,55,14,0,0,6,0,0
22,10420,0,122,55,24,5,0,6,0,0
21,10420,0,105,55,22,5,0,0,0,0
20,10420,0,105,69,31,9,0,0,0,0
19,10420,0,107,51,46,9,0,0,0,0
18,10420,0,53,33,44,9,0,0,0,0
17,10420,0,50,42,24,0,0,0,0,0
16,10420,0,26,42,2,0,0,7,0,0
15,10420,0,47,37,23,9,8,7,0,0
14,10420,0,47,37,45,25,8,13,0,0
13,10420,0,59,38,64,28,8,16,0,0
12,10420,0,16,45,64,20,8,16,0,0
11,10420,0,38,59,62,12,13,16,0,0
10,10420,0,22,49,69,12,17,16,0,0
9,10420,0,24,56,78,16,16,20,0,0
8,10420,0,46,56,64,12,27,20,0,2
7,10420,0,46,41,55,7,31,10,0,2
6,10420,0,22,42,39,7,30,18,0,0
5,10420,0,44,39,25,6,21,18,0,0
4,10420,0,67,55,13,6,25,26,0,0
3,10420,0,67,76,18,6,27,26,0,2
2,10420,0,45,96,8,7,15,16,0,2
1,10420,0,45,110,8,19,31,35,0,2
0,10420,0,23,100,13,23,31,35,0,0
-1,10420,0,23,76,26,27,38,35,0,0
-2,10420,0,0,57,36,26,27,27,0,0
-3,10420,0,0,20,40,16,27,20,0,0
-4,10420,0,0,0,43,4,14,0,0,0
-5,10420,0,0,0,50,4,14,0,0,0
-6,10420,0,0,0,37,4,9,9,0,0
-7,10420,0,0,0,35,9,9,9,0,0
-8,10420,0,0,0,27,9,0,25,0,0
-9,10420,0,0,0,14,10,0,18,0,0
-10,10420,0,0,0,14,8,0,16,0,0
-11,10420,0,0,0,5,9,0,16,0,0
-12,10420,0,0,0,0,9,16,34,0,0
-13,10420,0,0,0,0,10,20,18,0,0
-14,10420,0,0,0,8,11,16,18,0,0
-15,10420,0,0,0,14,6,10,25,0,0
-16,10420,0,0,0,11,15,6,30,0,0
-17,10420,0,0,0,6,9,8,20,0,0
-18,10420,0,0,0,10,10,14,15,0,0
-19,10420,0,0,0,8,6,22,15,0,0
-20,10420,0,0,0,4,8,14,7,0,0
-21,10420,0,0,0,4,8,14,10,0,0
-22,10420,0,0,0,0,8,20,10,0,0
-23,10420,0,0,0,0,8,24,15,0,3
-24,10420,0,0,0,3,0,21,15,0,3
-25,10420,0,0,0,3,0,15,14,0,3
-26,10420,73,0,0,0,0,21,4,0,3
-27,10420,193,0,0,0,5,25,4,0,0
-28,10420,266,0,0,0,8,10,8,0,0
-29,10420,176,0,0,0,8,12,4,0,0
-30,10420,30,0,0,0,8,12,5,0,0
-31,10420,0,0,0,0,3,8,23,0,0
-32,10420,0,0,0,0,0,8,18,0,6
-33,10420,0,0,0,3,0,8,18,0,6
-34,10420,0,0,0,6,0,16,15,0,5
-35,10420,0,0,0,6,0,16,26,0,5
