y,blocks mined,lava,coal,copper,iron,lapis,redstone,gold,emeralds,diamonds
63,10420,0,0,0,0,0,0,0,0,0
62,10420,0,0,0,0,0,0,0,0,0
61,10420,0,0,0,0,0,0,0,0,0
60,10420,0,0,0,0,0,0,0,0,0
59,10420,0,0,0,0,0,0,0,0,0
58,10420,0,0,0,0,0,0,0,0,0
57,10420,0,0,0,0,0,0,0,0,0
56,10420,0,0,0,0,0,0,0,0,0
55,10420,0,0,0,0,0,0,0,0,0
54,10420,0,0,0,0,0,0,0,0,0
53,10420,0,13,0,0,0,0,0,0,0
52,10420,0,39,6,0,0,0,0,0,0
51,10420,0,85,6,0,0,0,0,0,0
50,10420,0,85,6,0,0,0,0,0,0
49,10420,0,72,0,0,0,0,0,0,0
48,10420,0,131,0,3,0,0,0,0,0
47,10420,0,107,0,3,1,0,0,0,0
46,10420,0,50,6,11,1,0,0,0,0
45,10420,0,50,6,11,0,0,0,0,0
44,10420,0,78,32,12,1,0,0,0,0
43,10420,0,54,69,5,2,0,0,0,0
42,10420,0,100,69,4,1,0,0,0,0
41,10420,0,125,63,4,0,0,0,0,0
40,10420,0,165,47,4,0,0,0,0,0
39,10420,0,142,38,7,0,0,0,0,0
38,10420,0,164,21,15,2,0,0,0,0
37,10420,0,170,26,15,2,0,0,0,0
36,10420,0,103,30,28,2,0,0,0,0
35,10420,0,126,30,22,7,0,0,0,0
34,10420,0,86,31,22,7,0,0,0,0
33,10420,0,130,21,14,7,0,0,0,0
32,10420,0,124,28,14,8,0,0,0,0
31,10420,0,85,33,23,1,0,0,0,0
30,10420,0,89,49,46,3,0,0,0,0
29,10420,0,63,49,41,5,0,0,0,0
28,10420,0,85,58,25,7,0,0,0,0
27,10420,0,70,52,34,6,0,0,0,0
26,10420,0,46,41,40,3,0,0,0,0
25,10420,0,38,43,39,4,0,0,0,0
24,10420,0,64,69,39,4,0,6,0,0
23,10420,0,86,78,39,4,0,6,0,0
22,10420,0,62,94,19,1,0,6,0,0
21,10420,0,48,101,6,3,0,6,0,0
20,10420,0,32,225,12,3,0,0,0,0
19,10420,0,52,216,26,7,0,0,0,0
18,10420,0,79,213,32,7,0,0,0,0
17,10420,0,79,219,28,5,0,0,0,0
16,10420,0,73,211,22,4,0,0,0,0
15,10420,0,64,202,12,20,0,0,0,0
14,10420,0,40,207,18,20,5,0,0,0
13,10420,0,18,197,8,16,11,6,0,0
12,10420,0,18,179,8,16,6,6,0,0
11,10420,0,18,180,22,22,6,6,0,0
10,10420,0,18,214,46,14,0,6,0,0
9,10420,0,14,207,49,10,4,6,0,0
8,10420,0,14,221,51,6,10,8,0,0
7,10420,0,14,74,44,7,10,8,0,0
6,10420,0,14,78,42,11,10,8,0,0
5,10420,0,0,70,33,9,10,8,0,0
4,10420,0,0,64,33,9,10,8,0,0
3,10420,0,16,60,32,5,10,16,0,0
2,10420,0,16,63,16,16,0,8,0,0
1,10420,0,16,22,23,15,2,17,0,5
0,10420,0,0,32,23,20,4,17,0,5
-1,10420,0,0,29,31,16,2,17,0,7
-2,10420,0,0,19,37,11,2,9,0,7
-3,10420,0,0,13,41,16,10,9,0,2
-4,10420,0,0,0,45,16,10,0,0,2
-5,10420,0,0,0,34,10,10,0,0,2
-6,10420,0,0,0,37,0,14,10,0,4
-7,10420,0,0,0,37,1,19,12,0,4
-8,10420,0,0,0,26,1,19,12,0,0
-9,10420,0,0,0,27,1,17,14,0,0
-10,10420,0,0,0,36,14,14,24,0,0
-11,10420,0,0,0,27,13,5,24,0,0
-12,10420,0,0,0,16,19,0,24,0,0
-13,10420,0,0,0,25,14,0,16,0,0
-14,10420,0,0,0,16,8,0,8,0,0
-15,10420,50,0,0,13,4,4,8,0,0
-16,10420,198,0,0,3,1,4,0,0,0
-17,10420,349,0,0,3,1,4,4,0,2
-18,10420,402,0,0,0,0,4,4,0,4
-19,10420,384,0,0,4,0,12,10,0,4
-20,10420,365,0,0,5,0,12,33,0,2
-21,10420,356,0,0,7,0,12,33,0,2
-22,10420,315,0,0,3,14,12,33,0,2
-23,10420,520,0,0,20,14,8,39,0,2
-24,10420,1044,0,0,20,14,6,46,0,2
-25,10420,1548,0,0,16,19,6,39,0,0
-26,10420,1778,0,0,10,15,6,32,0,0
-27,10420,1705,0,0,10,0,6,16,0,0
-28,10420,1622,0,0,10,1,18,16,0,3
-29,10420,1564,0,0,0,1,20,10,0,3
-30,10420,1508,0,0,0,0,20,0,0,3
-31,10420,1630,0,0,3,0,26,0,0,3
-32,10420,2005,0,0,3,0,26,0,0,3
-33,10420,2177,0,0,3,0,14,4,0,0
-34,10420,2075,0,0,1,0,6,6,0,2
-35,10420,2008,0,0,1,2,9,8,0,2
