y,blocks mined,lava,coal,copper,iron,lapis,redstone,gold,emeralds,diamonds
63,10420,0,63,0,0,0,0,0,0,0
62,10420,0,41,0,0,0,0,0,0,0
61,10420,0,41,0,0,0,0,0,0,0
60,10420,0,41,0,0,0,0,0,0,0
59,10420,0,57,0,0,0,0,0,0,0
58,10420,0,57,18,0,0,0,0,0,0
57,10420,0,30,18,0,0,0,0,0,0
56,10420,0,30,18,0,0,0,0,0,0
55,10420,0,30,11,0,0,0,0,0,0
54,10420,0,65,11,3,0,0,0,0,0
53,10420,0,65,0,3,1,0,0,0,0
52,10420,0,72,0,0,1,0,0,0,0
51,10420,0,48,0,0,0,0,0,0,0
50,10420,0,48,6,0,0,0,0,0,0
49,10420,0,60,13,0,0,0,0,0,0
48,10420,0,73,13,0,0,0,0,0,0
47,10420,0,96,21,0,0,0,0,0,0
46,10420,0,75,41,5,2,0,0,0,0
45,10420,0,76,35,5,2,0,0,0,0
44,10420,0,143,45,5,3,0,0,0,0
43,10420,0,150,45,5,5,0,0,0,0
42,10420,0,217,41,0,2,0,0,0,0
41,10420,0,221,42,15,2,0,0,0,0
40,10420,0,229,57,19,2,0,0,0,0
39,10420,0,202,48,31,1,0,0,0,0
38,10420,0,172,103,42,1,0,0,0,0
37,10420,0,172,103,36,0,0,0,0,0
36,10420,0,105,87,37,0,0,0,0,0
35,10420,0,115,76,44,0,0,0,0,0
34,10420,0,71,84,34,0,0,0,0,0
33,10420,0,84,105,34,0,0,0,0,0
32,10420,0,48,46,17,0,0,0,0,0
31,10420,0,0,69,3,5,0,0,0,0
30,10420,0,18,78,3,5,0,0,0,0
29,10420,0,18,58,0,6,0,0,0,0
28,10420,0,56,20,2,6,0,0,0,0
27,10420,0,56,19,9,7,0,0,0,0
26,10420,0,39,20,9,7,0,0,0,0
25,10420,0,43,26,15,0,0,0,0,0
24,10420,0,43,47,21,1,0,0,0,0
23,10420,0,22,35,24,7,0,2,0,0
22,10420,0,22,31,29,7,0,2,0,0
21,10420,0,22,44,32,7,0,2,0,0
20,10420,0,52,54,36,6,0,7,0,0
19,10420,0,30,30,33,7,0,5,0,0
18,10420,0,30,33,43,2,0,5,0,0
17,10420,0,71,32,37,5,0,5,0,0
16,10420,0,153,34,63,13,0,5,0,0
15,10420,0,123,47,56,13,0,0,0,0
14,10420,0,125,30,46,13,4,0,0,0
13,10420,0,132,23,34,14,9,0,0,0
12,10420,0,180,50,40,15,13,0,0,0
11,10420,0,127,65,35,17,18,0,0,0
10,10420,0,123,106,30,17,21,0,0,0
9,10420,0,59,115,26,14,12,0,0,0
8,10420,0,46,88,26,12,8,0,0,0
7,10420,0,46,74,42,9,14,4,0,0
6,10420,0,46,63,32,9,14,4,0,0
5,10420,0,21,59,41,9,6,4,0,0
4,10420,0,21,64,47,18,15,20,0,3
3,10420,0,0,49,43,18,15,26,0,3
2,10420,0,0,37,35,10,6,22,0,5
1,10420,0,0,39,33,10,6,22,0,2
0,10420,0,0,33,35,10,5,22,0,0
-1,10420,0,0,26,34,18,9,15,0,0
-2,10420,0,0,14,41,23,4,9,0,0
-3,10420,0,0,14,28,25,0,16,0,0
-4,10420,0,0,8,26,25,0,16,0,0
-5,10420,0,0,0,37,19,2,8,0,0
-6,10420,0,0,0,29,3,2,8,0,0
-7,10420,0,0,0,22,3,0,0,0,0
-8,10420,0,0,0,11,0,8,0,0,3
-9,10420,0,0,0,17,1,16,0,0,3
-10,10420,0,0,0,19,1,16,0,0,3
-11,10420,0,0,0,21,5,16,13,0,3
-12,10420,0,0,0,14,5,14,37,0,3
-13,10420,8,0,0,20,5,6,47,0,0
-14,10420,40,0,0,21,5,6,41,0,0
-15,10420,56,0,0,15,5,0,57,0,0
-16,10420,56,0,0,10,0,0,47,0,0
-17,10420,575,0,0,18,0,0,47,0,0
-18,10420,2310,0,0,15,5,4,37,0,0
-19,10420,4374,0,0,19,5,12,34,0,11
-20,10420,5126,0,0,11,9,15,4,0,11
-21,10420,4682,0,0,7,9,17,4,0,11
-22,10420,4171,0,0,7,4,6,4,0,14
-23,10420,4227,0,0,7,4,2,0,0,14
-24,10420,5137,0,0,3,6,12,8,0,14
-25,10420,6329,0,0,0,2,21,8,0,3
-26,10420,6908,0,0,0,2,21,15,0,7
-27,10420,6760,0,0,0,2,20,21,0,7
-28,10420,5951,0,0,0,6,10,27,0,7
-29,10420,5218,0,0,2,5,10,23,0,8
-30,10420,5063,0,0,2,4,4,14,0,3
-31,10420,5214,0,0,5,3,5,14,0,3
-32,10420,5528,0,0,3,3,1,9,0,3
-33,10420,5683,0,0,4,3,0,3,0,2
-34,10420,5696,0,0,9,3,18,3,0,2
-35,10420,5617,0,0,9,3,18,0,0,0
-36,10420,5342,0,0,14,4,22,10,0,0
-37,10420,4884,0,0,7,4,4,16,0,2
-38,10420,4359,0,0,5,4,2,10,0,2
-39,10420,3666,0,0,2,4,2,10,0,2
-40,10420,3068,0,0,0,0,6,4,0,0
-41,10420,2746,0,0,0,3,6,0,0,0
-42,10420,2537,0,0,2,3,14,9,0,0
-43,10420,2217,0,0,6,4,20,9,0,3
-44,10420,1511,0,0,6,4,20,9,0,3
-45,10420,676,0,0,10,1,20,0,0,0
-46,10420,129,0,0,13,3,20,0,0,0
-47,10420,0,0,0,5,5,20,0,0,0
-48,10420,0,0,0,5,3,8,0,0,2
-49,10420,0,0,0,3,3,6,0,0,3
-50,10420,0,0,0,2,3,12,0,0,3
-51,10420,0,0,0,2,5,31,0,0,11
-52,10420,0,0,0,2,5,37,0,0,10
-53,10420,0,0,0,0,0,52,0,0,14
-54,10420,502,0,0,0,3,59,0,0,29
-55,10420,2039,0,0,2,3,56,0,0,20
-56,10420,3494,0,0,2,0,54,0,0,13
-57,10420,3210,0,0,3,0,65,0,0,4
-58,10420,1643,0,0,5,0,73,0,0,4
-59,10420,404,0,0,5,0,85,0,0,2
