y,blocks mined,lava,coal,copper,iron,lapis,redstone,gold,emeralds,diamonds
63,10420,0,22,11,0,0,0,0,0,0
62,10420,0,87,11,0,1,0,0,0,0
61,10420,0,100,20,0,1,0,0,0,0
60,10420,0,106,20,0,1,0,0,0,0
59,10420,0,128,29,0,1,0,0,0,0
58,10420,0,115,18,0,0,0,0,0,0
57,10420,0,105,9,0,1,0,0,0,0
56,10420,0,164,10,0,4,0,0,0,0
55,10420,0,188,18,4,3,0,0,0,0
54,10420,0,154,18,4,0,0,0,0,0
53,10420,0,154,18,0,1,0,0,0,0
52,10420,0,154,33,0,1,0,0,0,0
51,10420,0,151,23,3,0,0,0,0,0
50,10420,0,221,18,10,0,0,0,0,0
49,10420,0,183,38,17,0,0,0,0,0
48,10420,0,158,28,17,5,0,0,0,0
47,10420,0,155,28,14,6,0,0,0,0
46,10420,0,117,27,14,1,0,0,0,0
45,10420,0,111,33,27,0,0,0,0,0
44,10420,0,92,35,15,0,0,0,0,0
43,10420,0,93,50,15,0,0,0,0,0
42,10420,0,93,69,15,0,0,0,0,0
41,10420,0,93,62,15,4,0,0,0,0
40,10420,0,126,108,8,6,0,0,0,0
39,10420,0,145,110,11,6,0,0,0,0
38,10420,0,101,58,19,4,0,0,0,0
37,10420,6,92,38,19,4,0,0,0,0
36,10420,15,93,38,19,8,0,0,0,0
35,10420,15,83,29,22,8,0,0,0,0
34,10420,9,105,35,26,0,0,0,0,0
33,10420,3,102,27,26,0,0,0,0,0
32,10420,0,99,14,25,4,0,0,0,0
31,10420,0,99,6,21,6,0,0,0,0
30,10420,0,81,6,19,2,0,0,0,0
29,10420,0,44,15,15,0,0,0,0,0
28,10420,0,65,21,19,8,0,0,0,0
27,10420,0,81,13,9,8,0,0,0,0
26,10420,0,104,30,14,8,0,0,0,0
25,10420,0,107,24,28,8,0,0,0,0
24,10420,0,86,53,39,5,0,0,0,0
23,10420,0,72,64,33,1,0,0,0,0
22,10420,0,144,65,34,9,0,5,0,0
21,10420,0,144,33,22,15,0,5,0,0
20,10420,11,120,33,28,16,0,5,0,0
19,10420,33,138,43,19,20,0,13,0,0
18,10420,55,85,44,19,15,0,13,0,0
17,10420,77,42,24,3,23,0,8,0,0
16,10420,99,42,26,11,19,0,16,0,0
15,10420,88,42,32,27,10,0,16,0,0
14,10420,44,24,34,32,0,6,8,0,0
13,10420,11,24,54,42,1,10,8,0,0
12,10420,0,0,39,42,1,10,13,0,0
11,10420,0,0,39,55,0,14,13,0,0
10,10420,0,22,28,62,5,16,13,0,0
9,10420,0,22,28,56,9,16,8,0,0
8,10420,0,43,31,63,13,8,0,0,0
7,10420,0,43,53,36,21,13,0,0,0
6,10420,0,43,73,34,17,10,6,0,0
5,10420,0,21,81,29,17,20,11,0,0
4,10420,0,21,81,38,18,20,23,0,0
3,10420,0,21,73,34,18,29,50,0,0
2,10420,0,0,63,34,13,19,39,0,0
1,10420,0,0,58,12,18,19,39,0,3
0,10420,0,0,58,13,25,14,30,0,3
-1,10420,0,0,35,16,24,22,14,0,0
-2,10420,0,0,19,13,29,22,12,0,0
-3,10420,0,0,0,9,25,21,12,0,0
-4,10420,0,0,0,1,18,21,16,0,0
-5,10420,0,0,0,23,22,17,34,0,0
-6,10420,0,0,0,27,28,13,44,0,0
-7,10420,0,0,0,50,25,31,36,0,2
-8,10420,0,0,0,39,30,31,36,0,2
-9,10420,0,0,0,50,27,31,38,0,3
-10,10420,0,0,0,30,39,17,20,0,3
-11,10420,0,0,0,34,27,9,24,0,3
-12,10420,0,0,0,11,12,9,20,0,3
-13,10420,0,0,0,16,20,4,28,0,2
-14,10420,0,0,0,15,26,8,16,0,2
-15,10420,0,0,0,18,31,8,22,0,0
-16,10420,0,0,0,22,31,8,15,0,0
-17,10420,0,0,0,32,24,4,23,0,0
-18,10420,0,0,0,19,7,0,9,0,0
-19,10420,0,0,0,16,2,5,19,0,0
-20,10420,0,0,0,13,6,5,18,0,0
-21,10420,0,0,0,13,10,5,31,0,4
-22,10420,0,0,0,10,9,5,17,0,4
-23,10420,36,0,0,0,1,0,17,0,4
-24,10420,63,0,0,2,1,12,13,0,4
-25,10420,27,0,0,2,0,24,6,0,0
-26,10420,0,0,0,5,0,24,5,0,4
-27,10420,0,0,0,5,1,30,20,0,4
-28,10420,0,0,0,3,1,34,20,0,0
-29,10420,8,0,0,3,4,36,26,0,0
-30,10420,16,0,0,3,11,43,24,0,0
-31,10420,66,0,0,0,11,35,19,0,0
-32,10420,151,0,0,0,11,29,19,0,0
-33,10420,222,0,0,3,6,16,6,0,0
-34,10420,209,0,0,3,3,14,6,0,0
-35,10420,110,0,0,5,3,20,6,0,0
-36,10420,30,0,0,4,3,20,6,0,0
-37,10420,0,0,0,4,4,16,6,0,0
-38,10420,0,0,0,5,1,12,20,0,2
-39,10420,0,0,0,5,0,6,30,0,4
-40,10420,0,0,0,4,1,0,42,0,4
-41,10420,0,0,0,1,1,4,34,0,6
-42,10420,0,0,0,0,1,4,34,0,6
-43,10420,0,0,0,3,1,6,23,0,15
-44,10420,0,0,0,3,1,6,13,0,15
-45,10420,0,0,0,5,1,14,15,0,13
-46,10420,0,0,0,5,7,23,15,0,11
-47,10420,0,0,0,0,7,44,19,0,5
-48,10420,0,0,0,0,7,42,19,0,5
-49,10420,0,0,0,0,7,48,36,0,1
-50,10420,0,0,0,2,0,66,27,0,1
-51,10420,0,0,0,2,0,60,27,0,0
-52,10420,0,0,0,2,0,59,27,0,2
-53,10420,0,0,0,3,0,64,27,0,2
-54,10420,49,0,0,11,0,56,0,0,2
-55,10420,242,0,0,13,0,68,4,0,5
-56,10420,402,0,0,15,0,69,4,0,3
-57,10420,481,0,0,15,0,78,4,0,3
-58,10420,481,0,0,5,0,68,8,0,5
-59,10420,531,0,0,3,0,79,8,0,4
