y,blocks mined,lava,coal,copper,iron,lapis,redstone,gold,emeralds,diamonds
63,10420,0,53,0,2,0,0,0,0,0
62,10420,0,67,0,2,0,0,0,0,0
61,10420,0,65,0,2,0,0,0,0,0
60,10420,0,106,13,2,0,0,0,0,0
59,10420,0,149,13,2,0,0,0,0,0
58,10420,0,103,13,0,0,0,0,0,0
57,10420,0,103,35,0,0,0,0,0,0
56,10420,0,103,35,0,5,0,0,0,0
55,10420,0,76,29,0,5,0,0,0,0
54,10420,0,132,44,3,8,0,0,0,0
53,10420,0,150,37,3,8,0,0,0,0
52,10420,0,154,32,3,8,0,0,0,0
51,10420,0,111,32,9,12,0,0,0,0
50,10420,0,158,19,15,7,0,0,0,0
49,10420,0,117,21,13,4,0,0,0,0
48,10420,0,90,30,11,0,0,0,0,0
47,10420,0,96,30,8,0,0,0,0,0
46,10420,0,129,62,12,0,0,0,0,0
45,10420,0,158,83,16,0,0,0,0,0
44,10420,0,158,72,15,8,0,0,0,0
43,10420,0,153,45,12,8,0,0,0,0
42,10420,0,106,37,6,5,0,0,0,0
41,10420,0,91,54,6,5,0,0,0,0
40,10420,0,35,31,6,0,0,0,0,0
39,10420,0,35,22,3,0,0,0,0,0
38,10420,0,54,32,4,0,0,0,0,0
37,10420,0,50,29,4,0,0,0,0,0
36,10420,0,45,19,4,0,0,0,0,0
35,10420,0,74,25,14,0,0,0,0,0
34,10420,0,74,25,14,0,0,0,0,0
33,10420,0,99,29,12,0,0,0,0,0
32,10420,0,92,20,16,0,0,0,0,0
31,10420,0,82,20,14,0,0,0,0,0
30,10420,0,82,10,21,0,0,0,0,0
29,10420,0,53,21,22,3,0,0,0,0
28,10420,0,73,30,32,3,0,0,0,0
27,10420,0,88,38,39,3,0,0,0,0
26,10420,0,88,38,48,3,0,0,0,0
25,10420,0,59,38,30,3,0,0,0,0
24,10420,0,47,49,28,3,0,0,0,0
23,10420,0,27,30,23,12,0,0,0,0
22,10420,0,27,47,17,10,0,0,0,0
21,10420,16,32,64,13,15,0,0,0,0
20,10420,16,20,58,23,15,0,0,0,0
19,10420,0,20,47,35,15,0,0,0,0
18,10420,0,20,32,38,8,0,10,0,0
17,10420,0,40,35,36,17,0,19,0,0
16,10420,0,20,40,24,12,0,19,0,0
15,10420,0,20,20,32,11,0,19,0,0
14,10420,0,20,28,25,12,0,9,0,0
13,10420,0,20,32,25,16,0,9,0,0
12,10420,0,25,27,42,17,8,9,0,0
11,10420,0,39,25,29,23,13,0,0,0
10,10420,0,39,27,21,28,17,0,0,0
9,10420,0,78,37,18,24,12,0,0,0
8,10420,0,64,24,40,25,12,0,0,0
7,10420,0,64,24,30,21,0,0,0,0
6,10420,0,39,24,26,25,6,0,0,0
5,10420,0,39,17,22,23,6,8,0,0
4,10420,0,22,26,40,19,6,8,0,0
3,10420,0,42,37,32,12,14,8,0,0
2,10420,0,20,36,25,17,20,8,0,0
1,10420,0,20,36,16,11,14,25,0,0
0,10420,0,20,18,8,11,14,17,0,0
-1,10420,0,20,18,8,6,8,17,0,0
-2,10420,0,0,0,10,5,0,17,0,0
-3,10420,0,0,0,20,1,0,17,0,0
-4,10420,0,0,0,24,6,0,9,0,0
-5,10420,0,0,0,15,9,4,5,0,0
-6,10420,0,0,0,26,10,9,5,0,0
-7,10420,0,0,0,22,5,5,5,0,0
-8,10420,0,0,0,25,20,5,5,0,0
-9,10420,0,0,0,53,16,21,0,0,0
-10,10420,0,0,0,53,16,21,8,0,0
-11,10420,0,0,0,64,7,16,8,0,0
-12,10420,0,0,0,61,12,8,8,0,0
-13,10420,0,0,0,47,6,8,0,0,0
-14,10420,38,0,0,46,2,6,6,0,0
-15,10420,146,0,0,26,1,6,6,0,0
-16,10420,249,0,0,54,7,6,14,0,0
-17,10420,278,0,0,39,8,6,8,0,0
-18,10420,271,0,0,39,8,10,18,0,2
-19,10420,270,0,0,32,13,4,18,0,2
-20,10420,275,0,0,30,23,8,32,0,2
-21,10420,273,0,0,65,22,8,26,0,4
-22,10420,294,0,0,39,23,13,23,0,4
-23,10420,352,0,0,38,14,5,15,0,4
-24,10420,413,0,0,41,13,8,11,0,4
-25,10420,421,0,0,7,1,8,11,0,0
-26,10420,450,0,0,36,0,8,11,0,4
-27,10420,594,0,0,36,0,8,12,0,4
-28,10420,729,0,0,34,0,8,6,0,4
-29,10420,740,0,0,36,0,0,6,0,12
-30,10420,714,0,0,27,5,0,13,0,12
-31,10420,710,0,0,29,5,0,27,0,4
-32,10420,672,0,0,33,5,15,21,0,9
-33,10420,578,0,0,33,5,15,29,0,9
-34,10420,450,0,0,33,6,15,21,0,7
-35,10420,298,0,0,31,10,9,21,0,7
-36,10420,170,0,0,28,9,0,15,0,4
-37,10420,98,0,0,45,9,0,15,0,4
-38,10420,42,0,0,46,9,0,7,0,7
-39,10420,18,0,0,46,5,0,15,0,7
-40,10420,18,0,0,91,9,0,15,0,7
-41,10420,45,0,0,93,11,0,22,0,7
-42,10420,99,0,0,75,2,13,17,0,9
-43,10420,129,0,0,110,2,18,17,0,9
-44,10420,138,0,0,417,1,43,27,0,9
-45,10420,108,0,0,439,1,42,17,0,3
-46,10420,72,0,0,439,1,53,10,0,3
-47,10420,84,0,0,431,1,48,22,0,0
-48,10420,132,0,0,430,2,64,29,0,4
-49,10420,156,0,0,396,2,78,37,0,4
-50,10420,168,0,0,355,1,73,35,0,4
-51,10420,180,0,0,345,1,61,28,0,2
-52,10420,180,0,0,345,1,63,15,0,4
-53,10420,177,0,0,327,1,66,15,0,8
-54,10420,212,0,0,9,0,64,23,0,6
-55,10420,220,0,0,1,0,51,19,0,4
-56,10420,302,0,0,1,0,63,16,0,4
-57,10420,516,0,0,0,0,34,9,0,0
-58,10420,677,0,0,0,0,38,4,0,0
-59,10420,724,0,0,0,0,35,0,0,3
