y,blocks mined,lava,coal,copper,iron,lapis,redstone,gold,emeralds,diamonds
63,10420,0,86,0,8,13,0,10,0,0
62,10420,0,65,8,8,14,0,19,0,0
61,10420,0,152,8,8,16,0,10,0,0
60,10420,0,198,33,9,12,0,17,0,0
59,10420,0,190,33,11,4,0,16,0,0
58,10420,0,187,43,8,4,0,16,0,0
57,10420,0,181,35,6,2,0,20,0,0
56,10420,0,142,48,3,1,0,20,0,0
55,10420,0,74,42,0,4,0,8,0,0
54,10420,0,29,72,0,4,0,8,0,0
53,10420,0,92,54,8,0,0,8,0,0
52,10420,0,70,38,11,0,0,8,0,0
51,10420,0,84,30,13,8,0,8,0,0
50,10420,0,150,39,10,8,0,6,0,0
49,10420,0,216,34,22,4,0,21,0,0
48,10420,0,202,34,28,4,0,37,0,0
47,10420,0,196,33,39,0,0,55,0,0
46,10420,0,212,23,39,0,0,71,0,0
45,10420,0,197,16,39,3,0,61,0,0
44,10420,0,190,46,26,4,0,77,0,0
43,10420,0,197,47,12,4,0,48,0,0
42,10420,0,179,74,6,5,0,46,0,0
41,10420,0,140,56,8,5,0,24,0,0
40,10420,0,147,55,8,2,0,20,0,0
39,10420,0,168,53,8,2,0,12,0,0
38,10420,0,150,57,6,2,0,16,0,0
37,10420,0,111,45,7,0,0,14,0,0
36,10420,0,158,21,15,0,0,35,0,0
35,10420,0,164,40,18,0,0,35,0,0
34,10420,0,135,36,21,0,0,19,0,0
33,10420,0,110,36,27,0,0,12,0,0
32,10420,0,91,46,40,0,0,0,0,0
31,10420,0,55,53,34,1,0,0,0,0
30,10420,0,66,33,36,4,0,0,0,0
29,10420,0,43,40,43,3,0,0,0,0
28,10420,0,31,52,60,4,0,0,0,0
27,10420,0,31,78,69,5,0,10,0,0
26,10420,0,31,74,67,2,0,10,0,0
25,10420,0,37,84,23,2,0,10,0,0
24,10420,0,58,63,25,9,0,10,0,0
23,10420,0,58,36,33,8,0,10,0,0
22,10420,0,38,27,28,14,0,0,0,0
21,10420,0,17,29,26,14,0,11,0,0
20,10420,0,17,31,37,14,0,11,0,0
19,10420,0,17,31,43,0,0,8,0,0
18,10420,0,17,45,39,2,0,0,0,0
17,10420,0,0,35,33,5,0,0,0,0
16,10420,0,0,35,34,7,0,0,0,0
15,10420,0,0,29,39,4,0,0,0,0
14,10420,0,0,59,50,4,5,0,0,0
13,10420,0,76,63,54,9,11,7,0,0
12,10420,0,76,63,59,12,11,7,0,0
11,10420,0,139,42,46,11,11,7,0,0
10,10420,0,176,68,55,11,20,7,0,0
9,10420,0,87,55,55,11,24,7,0,0
8,10420,0,54,42,59,15,19,0,0,0
7,10420,0,32,61,67,15,10,0,0,0
6,10420,0,15,55,63,21,4,0,0,4
5,10420,0,15,46,57,25,6,0,0,4
4,10420,0,0,20,56,18,13,0,0,4
3,10420,0,26,22,27,19,18,22,0,4
2,10420,0,26,29,28,4,12,22,0,0
1,10420,0,26,48,15,4,23,28,0,0
0,10420,0,26,48,16,5,28,28,0,0
-1,10420,0,0,44,40,5,21,28,0,0
-2,10420,0,0,34,42,6,21,18,0,0
-3,10420,0,0,16,52,6,15,10,0,0
-4,10420,0,0,8,43,8,13,4,0,0
-5,10420,0,0,0,42,8,8,4,0,0
-6,10420,0,0,0,6,2,4,0,0,0
-7,10420,0,0,0,19,2,4,22,0,3
-8,10420,0,0,0,26,1,10,22,0,3
-9,10420,0,0,0,20,1,26,22,0,3
-10,10420,0,0,0,12,0,26,17,0,3
-11,10420,0,0,0,18,0,32,30,0,3
-12,10420,0,0,0,16,5,21,18,0,5
-13,10420,0,0,0,12,5,15,18,0,5
-14,10420,0,0,0,13,0,0,26,0,2
-15,10420,0,0,0,13,0,0,14,0,2
-16,10420,0,0,0,7,0,0,18,0,2
-17,10420,0,0,0,10,0,10,18,0,0
-18,10420,0,0,0,6,0,20,23,0,0
-19,10420,0,0,0,0,0,26,15,0,2
-20,10420,0,0,0,2,0,26,19,0,2
-21,10420,3,0,0,2,8,26,26,0,0
-22,10420,24,0,0,2,8,22,28,0,2
-23,10420,45,0,0,5,8,16,20,0,4
-24,10420,39,0,0,3,8,10,20,0,4
-25,10420,48,0,0,3,10,12,24,0,2
-26,10420,60,0,0,3,2,12,21,0,2
-27,10420,66,0,0,3,0,8,19,0,0
-28,10420,72,0,0,3,0,8,21,0,0
-29,10420,63,0,0,0,0,17,10,0,0
-30,10420,62,0,0,0,0,9,8,0,0
-31,10420,64,0,0,0,0,9,8,0,0
-32,10420,58,0,0,0,0,5,8,0,0
-33,10420,39,0,0,2,0,24,14,0,0
-34,10420,13,0,0,2,3,19,14,0,0
-35,10420,0,0,0,5,5,23,10,0,0
-36,10420,0,0,0,7,5,20,18,0,0
-37,10420,0,0,0,10,3,20,18,0,0
-38,10420,0,0,0,8,0,19,12,0,0
-39,10420,0,0,0,0,0,19,4,0,2
-40,10420,0,0,0,0,0,20,0,0,2
-41,10420,0,0,0,2,0,12,0,0,2
-42,10420,0,0,0,6,0,18,4,0,2
-43,10420,0,0,0,6,0,16,22,0,2
-44,10420,0,0,0,4,0,31,35,0,2
-45,10420,0,0,0,9,0,25,35,0,0
-46,10420,0,0,0,5,0,19,30,0,0
-47,10420,0,0,0,5,1,31,26,0,0
