y,avgBlocksPerChunk
-64.0,0.0
-63.0,0.0
-62.0,0.0
-61.0,0.0
-60.0,0.000146484375
-59.0,0.001181640625
-58.0,0.00474609375
-57.0,0.0104296875
-56.0,0.02009765625
-55.0,0.03333984375
-54.0,6.77966796875
-53.0,7.886826171875
-52.0,8.805546875
-51.0,9.785107421875
-50.0,10.8083984375
-49.0,11.82142578125
-48.0,12.89453125
-47.0,12.743046875
-46.0,12.97828125
-45.0,13.59412109375
-44.0,14.67912109375
-43.0,16.075625
-42.0,17.573525390625
-41.0,19.0616015625
-40.0,20.5230078125
-39.0,19.067265625
-38.0,17.97109375
-37.0,17.229931640625
-36.0,16.83466796875
-35.0,16.827109375
-34.0,17.15845703125
-33.0,17.830107421875
-32.0,19.06728515625
-31.0,18.14078125
-30.0,17.557490234375
-29.0,17.830283203125
-28.0,18.265166015625
-27.0,19.015263671875
-26.0,19.984033203125
-25.0,21.2957421875
-24.0,23.375576171875
-23.0,22.893291015625
-22.0,22.792138671875
-21.0,22.917236328125
-20.0,23.3314453125
-19.0,23.818740234375
-18.0,24.78955078125
-17.0,26.23005859375
-16.0,28.440751953125
-15.0,27.312724609375
-14.0,26.8210546875
-13.0,26.708837890625
-12.0,26.910400390625
-11.0,27.42859375
-10.0,28.31068359375
-9.0,29.603115234375
-8.0,31.737919921875
-7.0,29.658076171875
-6.0,28.29291015625
-5.0,27.18578125
-4.0,26.317880859375
-3.0,25.716376953125
-2.0,25.363271484375
-1.0,25.42654296875
0.0,26.38474609375
1.0,24.259814453125
2.0,23.1458203125
3.0,22.483447265625
4.0,22.162021484375
5.0,22.230126953125
6.0,22.63451171875
7.0,23.312744140625
8.0,24.648515625
9.0,23.084326171875
10.0,22.27931640625
11.0,22.364990234375
12.0,22.925810546875
13.0,23.6475390625
14.0,24.697802734375
15.0,26.075634765625
16.0,27.893125
17.0,23.013291015625
18.0,21.8507421875
19.0,21.328056640625
20.0,20.709716796875
21.0,20.1837109375
22.0,19.6703515625
23.0,19.401103515625
24.0,19.593203125
25.0,17.306162109375
26.0,15.845810546875
27.0,14.725732421875
28.0,13.841103515625
29.0,13.217529296875
30.0,12.77056640625
31.0,12.318876953125
32.0,11.7578125
33.0,8.772353515625
34.0,7.504853515625
35.0,6.56283203125
36.0,5.837646484375
37.0,5.316953125
38.0,4.976728515625
39.0,4.69876953125
40.0,4.454482421875
41.0,4.1844140625
42.0,3.72482421875
43.0,3.18822265625
44.0,2.624267578125
45.0,2.140419921875
46.0,1.8264453125
47.0,1.662841796875
48.0,1.35158203125
49.0,0.83140625
50.0,0.636318359375
51.0,0.572197265625
52.0,0.534814453125
53.0,0.5038671875
54.0,0.490126953125
55.0,0.478994140625
56.0,0.518896484375
57.0,0.46978515625
58.0,0.44263671875
59.0,0.43921875
60.0,0.436201171875
61.0,0.43640625
62.0,0.457802734375
63.0,221.983837890625
64.0,224.973525390625
65.0,227.636728515625
66.0,229.68716796875
67.0,231.881591796875
68.0,234.10947265625
69.0,236.4079296875
70.0,238.846630859375
71.0,241.410302734375
72.0,243.853134765625
73.0,245.337578125
74.0,246.391708984375
75.0,247.368056640625
76.0,248.285087890625
77.0,249.1765234375
78.0,249.90603515625
79.0,250.61234375
80.0,251.213701171875
81.0,251.6760546875
82.0,251.977138671875
83.0,252.3012109375
84.0,252.5473046875
85.0,252.822568359375
86.0,253.038251953125
87.0,253.30796875
88.0,253.54416015625
89.0,253.754345703125
90.0,253.870859375
91.0,254.0032421875
92.0,254.110146484375
93.0,254.243125
94.0,254.371220703125
95.0,254.525537109375
96.0,254.667294921875
97.0,254.7505078125
98.0,254.804580078125
99.0,254.864384765625
100.0,254.920986328125
101.0,254.9919921875
102.0,255.059609375
103.0,255.138994140625
104.0,255.2179296875
105.0,255.27173828125
106.0,255.311640625
107.0,255.35505859375
108.0,255.395341796875
109.0,255.439228515625
110.0,255.47642578125
111.0,255.55056640625
112.0,255.603564453125
113.0,255.647080078125
114.0,255.67109375
115.0,255.70533203125
116.0,255.729580078125
117.0,255.75701171875
118.0,255.77849609375
119.0,255.804892578125
120.0,255.830234375
121.0,255.867021484375
122.0,255.88671875
123.0,255.90328125
124.0,255.913740234375
125.0,255.9275
126.0,255.933876953125
127.0,255.942529296875
128.0,255.94677734375
129.0,255.957587890625
130.0,255.96166015625
131.0,255.967158203125
132.0,255.96650390625
133.0,255.971474609375
134.0,255.97078125
135.0,255.9759765625
136.0,255.97654296875
137.0,255.979443359375
138.0,255.979560546875
139.0,255.9828125
140.0,255.984609375
141.0,255.986015625
142.0,255.98646484375
143.0,255.987529296875
144.0,255.98833984375
145.0,255.988984375
146.0,255.98947265625
147.0,255.990087890625
148.0,255.9905078125
149.0,255.990810546875
150.0,255.991142578125
151.0,255.991416015625
152.0,255.991865234375
153.0,255.99462890625
154.0,255.99697265625
155.0,255.99783203125
156.0,255.99740234375
157.0,255.99666015625
158.0,255.997109375
159.0,255.99830078125
160.0,255.99876953125
161.0,255.999130859375
162.0,255.999189453125
163.0,255.99921875
164.0,255.999482421875
165.0,255.999609375
166.0,255.99974609375
167.0,255.999951171875
168.0,256.0
169.0,256.0
170.0,256.0
171.0,256.0
172.0,256.0
173.0,256.0
174.0,256.0
175.0,256.0
176.0,256.0
177.0,256.0
178.0,256.0
179.0,256.0
180.0,256.0
181.0,256.0
182.0,256.0
183.0,256.0
184.0,256.0
185.0,256.0
186.0,256.0
187.0,256.0
188.0,256.0
189.0,256.0
190.0,256.0
191.0,256.0
192.0,256.0
193.0,256.0
194.0,256.0
195.0,256.0
