y,blocks mined,lava,coal,copper,iron,lapis,redstone,gold,emeralds,diamonds
63,10420,0,0,0,0,0,0,0,0,0
62,10420,0,0,0,0,0,0,0,0,0
61,10420,0,0,0,0,0,0,0,0,0
60,10420,0,0,0,0,0,0,0,0,0
59,10420,0,0,0,0,0,0,0,0,0
58,10420,0,17,0,0,3,0,0,0,0
57,10420,0,17,5,0,3,0,0,0,0
56,10420,0,16,5,0,3,0,0,0,0
55,10420,0,16,5,0,3,0,0,0,0
54,10420,0,16,5,0,3,0,0,0,0
53,10420,0,16,5,0,3,0,0,0,0
52,10420,0,0,0,0,0,0,0,0,0
51,10420,0,0,0,0,0,0,0,0,0
50,10420,0,13,0,0,0,0,0,0,0
49,10420,0,38,0,0,0,0,0,0,0
48,10420,0,64,0,0,0,0,0,0,0
47,10420,0,64,8,0,1,0,0,0,0
46,10420,0,64,19,13,4,0,0,0,0
45,10420,0,61,19,13,5,0,0,0,0
44,10420,0,100,36,15,7,0,0,0,0
43,10420,0,88,36,6,10,0,0,0,0
42,10420,0,88,37,8,8,0,0,0,0
41,10420,0,164,57,12,6,0,0,0,0
40,10420,0,188,74,8,4,0,0,0,0
39,10420,0,174,67,20,1,0,0,0,0
38,10420,0,139,105,30,2,0,0,0,0
37,10420,0,95,88,41,1,0,0,0,0
36,10420,0,97,87,54,0,0,0,0,0
35,10420,0,75,49,51,0,0,0,0,0
34,10420,0,70,50,50,2,0,0,0,0
33,10420,0,59,42,24,2,0,0,0,0
32,10420,0,98,37,27,2,0,0,0,0
31,10420,0,102,47,13,2,0,0,0,0
30,10420,0,75,11,2,2,0,0,0,0
29,10420,0,88,16,2,0,0,0,0,0
28,10420,0,88,16,0,0,0,0,0,0
27,10420,0,77,34,14,0,0,0,0,0
26,10420,0,53,32,16,3,0,0,0,0
25,10420,0,51,32,27,3,0,0,0,0
24,10420,0,53,41,25,3,0,0,0,0
23,10420,0,53,43,31,1,0,0,0,0
22,10420,0,20,30,29,9,0,0,0,0
21,10420,0,20,20,28,9,0,0,0,0
20,10420,0,24,21,18,15,0,0,0,0
19,10420,0,49,22,23,21,0,9,0,0
18,10420,0,49,29,19,21,0,9,0,0
17,10420,0,25,39,19,11,0,9,0,0
16,10420,0,25,38,17,3,0,9,0,0
15,10420,5,0,23,63,5,0,13,0,0
14,10420,14,0,13,79,3,4,7,0,0
13,10420,17,0,34,86,8,4,7,0,0
12,10420,12,0,34,65,12,8,4,0,0
11,10420,4,0,31,41,9,13,15,0,4
10,10420,0,0,17,21,10,9,26,0,8
9,10420,0,0,17,36,15,9,26,0,8
8,10420,0,0,43,48,15,0,23,0,8
7,10420,0,0,54,40,15,5,23,0,4
6,10420,0,0,56,52,5,5,6,0,4
5,10420,0,0,34,53,11,5,0,0,4
4,10420,0,8,34,52,16,0,0,0,0
3,10420,0,8,27,31,20,0,0,0,0
2,10420,0,8,27,13,12,6,0,0,3
1,10420,0,8,43,11,7,6,7,0,3
0,10420,0,8,43,3,35,6,7,0,0
-1,10420,0,0,34,5,38,9,3,0,0
-2,10420,0,0,19,11,30,9,3,0,0
-3,10420,0,0,19,19,32,18,3,0,0
-4,10420,0,0,0,27,31,14,12,0,0
-5,10420,0,0,0,22,0,14,20,0,0
-6,10420,0,0,0,27,4,0,27,0,0
-7,10420,0,0,0,18,4,0,27,0,0
-8,10420,0,0,0,20,6,10,19,0,3
-9,10420,0,0,0,14,6,13,7,0,3
-10,10420,0,0,0,14,6,21,12,0,3
-11,10420,0,0,0,10,6,25,13,0,3
-12,10420,0,0,0,10,6,25,27,0,4
-13,10420,8,0,0,10,6,14,22,0,5
-14,10420,25,0,0,0,0,4,22,0,1
-15,10420,26,0,0,0,0,0,24,0,3
-16,10420,17,0,0,2,0,0,25,0,3
-17,10420,66,0,0,10,0,0,17,0,3
-18,10420,123,0,0,14,1,6,22,0,6
-19,10420,148,0,0,17,1,6,13,0,6
-20,10420,120,0,0,5,1,6,5,0,3
-21,10420,104,0,0,6,9,6,14,0,0
-22,10420,213,0,0,7,9,14,14,0,0
-23,10420,380,0,0,7,9,17,14,0,0
-24,10420,554,0,0,7,0,17,6,0,0
-25,10420,722,0,0,4,0,28,11,0,0
-26,10420,784,0,0,3,0,28,5,0,2
-27,10420,779,0,0,3,1,32,7,0,2
-28,10420,794,0,0,3,3,32,10,0,3
-29,10420,845,0,0,0,5,23,10,0,3
-30,10420,1062,0,0,3,3,12,8,0,5
-31,10420,1400,0,0,6,6,12,16,0,8
-32,10420,1660,0,0,6,6,0,18,0,8
-33,10420,1864,0,0,6,3,0,18,0,8
-34,10420,1970,0,0,0,3,0,24,0,4
-35,10420,1980,0,0,0,0,0,32,0,2
